province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
GANDAKI,,,Total,None,Total,1320194.0,,,
GANDAKI,,,Total,None,Government,62408.0,,,
GANDAKI,,,Total,None,Financial corporation,15829.0,,,
GANDAKI,,,Total,None,Non-financial corporation,425260.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,6681.0,,,
GANDAKI,,,Total,None,Household,804297.0,,,
GANDAKI,,,Total,None,Not stated,5719.0,,,
GANDAKI,,,Total,None,Total,50355.0,,,
GANDAKI,,,Total,None,Government,0.0,,,
GANDAKI,,,Total,None,Financial corporation,0.0,,,
GANDAKI,,,Total,None,Non-financial corporation,29931.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,0.0,,,
GANDAKI,,,Total,None,Household,19952.0,,,
GANDAKI,,,Total,None,Not stated,472.0,,,
GANDAKI,,,Total,None,Total,82882.0,,,
GANDAKI,,,Total,None,Government,372.0,,,
GANDAKI,,,Total,None,Financial corporation,247.0,,,
GANDAKI,,,Total,None,Non-financial corporation,37000.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,255.0,,,
GANDAKI,,,Total,None,Household,44534.0,,,
GANDAKI,,,Total,None,Not stated,474.0,,,
GANDAKI,,,Total,None,Total,136601.0,,,
GANDAKI,,,Total,None,Government,7345.0,,,
GANDAKI,,,Total,None,Financial corporation,2664.0,,,
GANDAKI,,,Total,None,Non-financial corporation,50890.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,1052.0,,,
GANDAKI,,,Total,None,Household,73905.0,,,
GANDAKI,,,Total,None,Not stated,745.0,,,
GANDAKI,,,Total,None,Total,155387.0,,,
GANDAKI,,,Total,None,Government,10662.0,,,
GANDAKI,,,Total,None,Financial corporation,4491.0,,,
GANDAKI,,,Total,None,Non-financial corporation,55309.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,1198.0,,,
GANDAKI,,,Total,None,Household,82994.0,,,
GANDAKI,,,Total,None,Not stated,733.0,,,
GANDAKI,,,Total,None,Total,148814.0,,,
GANDAKI,,,Total,None,Government,11676.0,,,
GANDAKI,,,Total,None,Financial corporation,3290.0,,,
GANDAKI,,,Total,None,Non-financial corporation,51939.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,1072.0,,,
GANDAKI,,,Total,None,Household,80139.0,,,
GANDAKI,,,Total,None,Not stated,698.0,,,
GANDAKI,,,Total,None,Total,143198.0,,,
GANDAKI,,,Total,None,Government,10546.0,,,
GANDAKI,,,Total,None,Financial corporation,2041.0,,,
GANDAKI,,,Total,None,Non-financial corporation,47741.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,884.0,,,
GANDAKI,,,Total,None,Household,81381.0,,,
GANDAKI,,,Total,None,Not stated,605.0,,,
GANDAKI,,,Total,None,Total,128445.0,,,
GANDAKI,,,Total,None,Government,6733.0,,,
GANDAKI,,,Total,None,Financial corporation,1260.0,,,
GANDAKI,,,Total,None,Non-financial corporation,40231.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,715.0,,,
GANDAKI,,,Total,None,Household,78998.0,,,
GANDAKI,,,Total,None,Not stated,508.0,,,
GANDAKI,,,Total,None,Total,108730.0,,,
GANDAKI,,,Total,None,Government,5326.0,,,
GANDAKI,,,Total,None,Financial corporation,765.0,,,
GANDAKI,,,Total,None,Non-financial corporation,30075.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,525.0,,,
GANDAKI,,,Total,None,Household,71615.0,,,
GANDAKI,,,Total,None,Not stated,424.0,,,
GANDAKI,,,Total,None,Total,109680.0,,,
GANDAKI,,,Total,None,Government,5361.0,,,
GANDAKI,,,Total,None,Financial corporation,625.0,,,
GANDAKI,,,Total,None,Non-financial corporation,25241.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,419.0,,,
GANDAKI,,,Total,None,Household,77703.0,,,
GANDAKI,,,Total,None,Not stated,331.0,,,
GANDAKI,,,Total,None,Total,84624.0,,,
GANDAKI,,,Total,None,Government,3021.0,,,
GANDAKI,,,Total,None,Financial corporation,294.0,,,
GANDAKI,,,Total,None,Non-financial corporation,16868.0,,,
GANDAKI,,,Total,None,Non-profit institution  Serving household,255.0,,,
GANDAKI,,,Total,None,Household,63977.0,,,
GANDAKI,,,Total,None,Not stated,209.0,,,
GANDAKI,,,Total,None,Total,69850.0,,,
