province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
SUDURPASCHIM,,,,Total,Total ever married female,568372.0,,,
SUDURPASCHIM,,,,Total,15 - 19,22526.0,,,
SUDURPASCHIM,,,,Total,20 - 24,97937.0,,,
SUDURPASCHIM,,,,Total,25 - 29,107945.0,,,
SUDURPASCHIM,,,,Total,30 - 34,100326.0,,,
SUDURPASCHIM,,,,Total,35 - 39,94308.0,,,
SUDURPASCHIM,,,,Total,40 - 44,79988.0,,,
SUDURPASCHIM,,,,Total,45 - 49,65342.0,,,
SUDURPASCHIM,,,,No Children,Total ever married female,63839.0,,,
SUDURPASCHIM,,,,No Children,15 - 19,13838.0,,,
SUDURPASCHIM,,,,No Children,20 - 24,25435.0,,,
SUDURPASCHIM,,,,No Children,25 - 29,10613.0,,,
SUDURPASCHIM,,,,No Children,30 - 34,4239.0,,,
SUDURPASCHIM,,,,No Children,35 - 39,2800.0,,,
SUDURPASCHIM,,,,No Children,40 - 44,2927.0,,,
SUDURPASCHIM,,,,No Children,45 - 49,3987.0,,,
SUDURPASCHIM,,,,1 Child,Total ever married female,115963.0,,,
SUDURPASCHIM,,,,1 Child,15 - 19,7580.0,,,
SUDURPASCHIM,,,,1 Child,20 - 24,46045.0,,,
SUDURPASCHIM,,,,1 Child,25 - 29,32665.0,,,
SUDURPASCHIM,,,,1 Child,30 - 34,15047.0,,,
SUDURPASCHIM,,,,1 Child,35 - 39,7014.0,,,
SUDURPASCHIM,,,,1 Child,40 - 44,4239.0,,,
SUDURPASCHIM,,,,1 Child,45 - 49,3373.0,,,
SUDURPASCHIM,,,,2 Children,Total ever married female,168042.0,,,
SUDURPASCHIM,,,,2 Children,15 - 19,965.0,,,
SUDURPASCHIM,,,,2 Children,20 - 24,21544.0,,,
SUDURPASCHIM,,,,2 Children,25 - 29,42864.0,,,
SUDURPASCHIM,,,,2 Children,30 - 34,40512.0,,,
SUDURPASCHIM,,,,2 Children,35 - 39,31169.0,,,
SUDURPASCHIM,,,,2 Children,40 - 44,19303.0,,,
SUDURPASCHIM,,,,2 Children,45 - 49,11685.0,,,
SUDURPASCHIM,,,,3 Children,Total ever married female,111021.0,,,
SUDURPASCHIM,,,,3 Children,15 - 19,116.0,,,
SUDURPASCHIM,,,,3 Children,20 - 24,4110.0,,,
SUDURPASCHIM,,,,3 Children,25 - 29,16069.0,,,
SUDURPASCHIM,,,,3 Children,30 - 34,24608.0,,,
SUDURPASCHIM,,,,3 Children,35 - 39,27036.0,,,
SUDURPASCHIM,,,,3 Children,40 - 44,22734.0,,,
SUDURPASCHIM,,,,3 Children,45 - 49,16348.0,,,
SUDURPASCHIM,,,,4 Children,Total ever married female,60763.0,,,
SUDURPASCHIM,,,,4 Children,15 - 19,24.0,,,
SUDURPASCHIM,,,,4 Children,20 - 24,672.0,,,
SUDURPASCHIM,,,,4 Children,25 - 29,4463.0,,,
SUDURPASCHIM,,,,4 Children,30 - 34,10680.0,,,
SUDURPASCHIM,,,,4 Children,35 - 39,15459.0,,,
SUDURPASCHIM,,,,4 Children,40 - 44,15880.0,,,
SUDURPASCHIM,,,,4 Children,45 - 49,13585.0,,,
SUDURPASCHIM,,,,5 Children,Total ever married female,28542.0,,,
SUDURPASCHIM,,,,5 Children,15 - 19,3.0,,,
SUDURPASCHIM,,,,5 Children,20 - 24,115.0,,,
SUDURPASCHIM,,,,5 Children,25 - 29,1000.0,,,
SUDURPASCHIM,,,,5 Children,30 - 34,3693.0,,,
SUDURPASCHIM,,,,5 Children,35 - 39,6858.0,,,
SUDURPASCHIM,,,,5 Children,40 - 44,8440.0,,,
SUDURPASCHIM,,,,5 Children,45 - 49,8433.0,,,
SUDURPASCHIM,,,,6 Children,Total ever married female,12284.0,,,
SUDURPASCHIM,,,,6 Children,15 - 19,0.0,,,
SUDURPASCHIM,,,,6 Children,20 - 24,16.0,,,
SUDURPASCHIM,,,,6 Children,25 - 29,222.0,,,
SUDURPASCHIM,,,,6 Children,30 - 34,1140.0,,,
SUDURPASCHIM,,,,6 Children,35 - 39,2603.0,,,
SUDURPASCHIM,,,,6 Children,40 - 44,3907.0,,,
SUDURPASCHIM,,,,6 Children,45 - 49,4396.0,,,
SUDURPASCHIM,,,,7 Children,Total ever married female,4910.0,,,
SUDURPASCHIM,,,,7 Children,15 - 19,0.0,,,
SUDURPASCHIM,,,,7 Children,20 - 24,0.0,,,
SUDURPASCHIM,,,,7 Children,25 - 29,49.0,,,
SUDURPASCHIM,,,,7 Children,30 - 34,285.0,,,
SUDURPASCHIM,,,,7 Children,35 - 39,882.0,,,
SUDURPASCHIM,,,,7 Children,40 - 44,1618.0,,,
SUDURPASCHIM,,,,7 Children,45 - 49,2076.0,,,
SUDURPASCHIM,,,,8 Children,Total ever married female,2093.0,,,
SUDURPASCHIM,,,,8 Children,15 - 19,0.0,,,
SUDURPASCHIM,,,,8 Children,20 - 24,0.0,,,
SUDURPASCHIM,,,,8 Children,25 - 29,0.0,,,
SUDURPASCHIM,,,,8 Children,30 - 34,109.0,,,
SUDURPASCHIM,,,,8 Children,35 - 39,384.0,,,
SUDURPASCHIM,,,,8 Children,40 - 44,656.0,,,
SUDURPASCHIM,,,,8 Children,45 - 49,944.0,,,
SUDURPASCHIM,,,,9 & More Children,Total ever married female,915.0,,,
SUDURPASCHIM,,,,9 & More Children,15 - 19,0.0,,,
SUDURPASCHIM,,,,9 & More Children,20 - 24,0.0,,,
SUDURPASCHIM,,,,9 & More Children,25 - 29,0.0,,,
SUDURPASCHIM,,,,9 & More Children,30 - 34,13.0,,,
SUDURPASCHIM,,,,9 & More Children,35 - 39,103.0,,,
SUDURPASCHIM,,,,9 & More Children,40 - 44,284.0,,,
SUDURPASCHIM,,,,9 & More Children,45 - 49,515.0,,,
SUDURPASCHIM,Bajura,,,Total,Total ever married female,26039.0,701,7,
SUDURPASCHIM,Bajura,,,Total,15 - 19,1390.0,701,7,
SUDURPASCHIM,Bajura,,,Total,20 - 24,5320.0,701,7,
SUDURPASCHIM,Bajura,,,Total,25 - 29,4321.0,701,7,
SUDURPASCHIM,Bajura,,,Total,30 - 34,4011.0,701,7,
SUDURPASCHIM,Bajura,,,Total,35 - 39,4187.0,701,7,
SUDURPASCHIM,Bajura,,,Total,40 - 44,3595.0,701,7,
SUDURPASCHIM,Bajura,,,Total,45 - 49,3215.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,Total ever married female,2908.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,15 - 19,783.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,20 - 24,1151.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,25 - 29,336.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,30 - 34,165.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,35 - 39,128.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,40 - 44,152.0,701,7,
SUDURPASCHIM,Bajura,,,No Children,45 - 49,193.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,Total ever married female,4279.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,15 - 19,518.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,20 - 24,2215.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,25 - 29,814.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,30 - 34,282.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,35 - 39,193.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,40 - 44,129.0,701,7,
SUDURPASCHIM,Bajura,,,1 Child,45 - 49,128.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,Total ever married female,5938.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,15 - 19,76.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,20 - 24,1545.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,25 - 29,1686.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,30 - 34,1047.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,35 - 39,730.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,40 - 44,488.0,701,7,
SUDURPASCHIM,Bajura,,,2 Children,45 - 49,366.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,Total ever married female,5374.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,15 - 19,8.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,20 - 24,334.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,25 - 29,1015.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,30 - 34,1314.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,35 - 39,1201.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,40 - 44,858.0,701,7,
SUDURPASCHIM,Bajura,,,3 Children,45 - 49,644.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,Total ever married female,3892.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,15 - 19,4.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,20 - 24,63.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,25 - 29,363.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,30 - 34,782.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,35 - 39,1027.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,40 - 44,907.0,701,7,
SUDURPASCHIM,Bajura,,,4 Children,45 - 49,746.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,Total ever married female,2082.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,15 - 19,1.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,20 - 24,9.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,25 - 29,87.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,30 - 34,292.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,35 - 39,540.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,40 - 44,595.0,701,7,
SUDURPASCHIM,Bajura,,,5 Children,45 - 49,558.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,Total ever married female,895.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,15 - 19,0.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,20 - 24,3.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,25 - 29,15.0,701,7,
SUDURPASCHIM,Bajura,,,6 Children,30 - 34,89.0,701,7,
