province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
BAGMATI,,,,Total,Total No. of children born alive in last 12 months,1057578.0,,,
BAGMATI,,,,Total,15 - 19,8327.0,,,
BAGMATI,,,,Total,20 - 24,68226.0,,,
BAGMATI,,,,Total,25 - 29,151608.0,,,
BAGMATI,,,,Total,30 - 34,199715.0,,,
BAGMATI,,,,Total,35 - 39,214739.0,,,
BAGMATI,,,,Total,40 - 44,215903.0,,,
BAGMATI,,,,Total,45 - 49,199060.0,,,
BAGMATI,,,,Student,Total No. of children born alive in last 12 months,4865.0,,,
BAGMATI,,,,Student,15 - 19,521.0,,,
BAGMATI,,,,Student,20 - 24,1856.0,,,
BAGMATI,,,,Student,25 - 29,1404.0,,,
BAGMATI,,,,Student,30 - 34,612.0,,,
BAGMATI,,,,Student,35 - 39,248.0,,,
BAGMATI,,,,Student,40 - 44,155.0,,,
BAGMATI,,,,Student,45 - 49,69.0,,,
BAGMATI,,,,Household chores,Total No. of children born alive in last 12 months,610743.0,,,
BAGMATI,,,,Household chores,15 - 19,4052.0,,,
BAGMATI,,,,Household chores,20 - 24,35928.0,,,
BAGMATI,,,,Household chores,25 - 29,82992.0,,,
BAGMATI,,,,Household chores,30 - 34,111586.0,,,
BAGMATI,,,,Household chores,35 - 39,125965.0,,,
BAGMATI,,,,Household chores,40 - 44,129862.0,,,
BAGMATI,,,,Household chores,45 - 49,120358.0,,,
BAGMATI,,,,Family care,Total No. of children born alive in last 12 months,171230.0,,,
BAGMATI,,,,Family care,15 - 19,1614.0,,,
BAGMATI,,,,Family care,20 - 24,13875.0,,,
BAGMATI,,,,Family care,25 - 29,29346.0,,,
BAGMATI,,,,Family care,30 - 34,36556.0,,,
BAGMATI,,,,Family care,35 - 39,33819.0,,,
BAGMATI,,,,Family care,40 - 44,30301.0,,,
BAGMATI,,,,Family care,45 - 49,25719.0,,,
BAGMATI,,,,Disable/sickness,Total No. of children born alive in last 12 months,11314.0,,,
BAGMATI,,,,Disable/sickness,15 - 19,65.0,,,
BAGMATI,,,,Disable/sickness,20 - 24,318.0,,,
BAGMATI,,,,Disable/sickness,25 - 29,760.0,,,
BAGMATI,,,,Disable/sickness,30 - 34,1210.0,,,
BAGMATI,,,,Disable/sickness,35 - 39,2002.0,,,
BAGMATI,,,,Disable/sickness,40 - 44,2970.0,,,
BAGMATI,,,,Disable/sickness,45 - 49,3989.0,,,
BAGMATI,,,,Penson / income,Total No. of children born alive in last 12 months,2561.0,,,
BAGMATI,,,,Penson / income,15 - 19,4.0,,,
BAGMATI,,,,Penson / income,20 - 24,48.0,,,
BAGMATI,,,,Penson / income,25 - 29,147.0,,,
BAGMATI,,,,Penson / income,30 - 34,297.0,,,
BAGMATI,,,,Penson / income,35 - 39,506.0,,,
BAGMATI,,,,Penson / income,40 - 44,645.0,,,
BAGMATI,,,,Penson / income,45 - 49,914.0,,,
BAGMATI,,,,Social work/volunteer,Total No. of children born alive in last 12 months,2047.0,,,
