code,country,feature,indicator,timecode,timevalue,value,meta
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/15-19,y,2021-01-01T00:00:00,57,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""15 - 19"", ""slug"": ""15-19"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/20-24,y,2021-01-01T00:00:00,445,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""20 - 24"", ""slug"": ""20-24"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/25-29,y,2021-01-01T00:00:00,853,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""25 - 29"", ""slug"": ""25-29"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/30-34,y,2021-01-01T00:00:00,1333,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""30 - 34"", ""slug"": ""30-34"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/35-39,y,2021-01-01T00:00:00,2029,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""35 - 39"", ""slug"": ""35-39"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/40-44,y,2021-01-01T00:00:00,3017,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""40 - 44"", ""slug"": ""40-44"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/45-49,y,2021-01-01T00:00:00,4058,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""45 - 49"", ""slug"": ""45-49"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/disable-sickness/total-no-of-children-born-alive-in-last-12-months,y,2021-01-01T00:00:00,11792,"[{""label"": ""Disable/sickness"", ""slug"": ""disable-sickness"", ""category"": ""Breakdown""}, {""label"": ""Total No. of children born alive in last 12 months"", ""slug"": ""total-no-of-children-born-alive-in-last-12-months"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/family-care/15-19,y,2021-01-01T00:00:00,2193,"[{""label"": ""Family care"", ""slug"": ""family-care"", ""category"": ""Breakdown""}, {""label"": ""15 - 19"", ""slug"": ""15-19"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/family-care/20-24,y,2021-01-01T00:00:00,21243,"[{""label"": ""Family care"", ""slug"": ""family-care"", ""category"": ""Breakdown""}, {""label"": ""20 - 24"", ""slug"": ""20-24"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/family-care/25-29,y,2021-01-01T00:00:00,42164,"[{""label"": ""Family care"", ""slug"": ""family-care"", ""category"": ""Breakdown""}, {""label"": ""25 - 29"", ""slug"": ""25-29"", ""category"": ""Sector""}]"
0,NP,PCL,nso-census/indv46-lumbini/family-care/30-34,y,2021-01-01T00:00:00,45242,"[{""label"": ""Family care"", ""slug"": ""family-care"", ""category"": ""Breakdown""}, {""label"": ""30 - 34"", ""slug"": ""30-34"", ""category"": ""Sector""}]"
