province,district,palika,sex,breakdown,sector,value
LUMBINI,,,,Total,Total No. of children born alive in last 12 months,1301119.0
LUMBINI,,,,Total,15 - 19,12344.0
LUMBINI,,,,Total,20 - 24,112420.0
LUMBINI,,,,Total,25 - 29,219492.0
LUMBINI,,,,Total,30 - 34,251807.0
LUMBINI,,,,Total,35 - 39,266480.0
LUMBINI,,,,Total,40 - 44,235970.0
LUMBINI,,,,Total,45 - 49,202606.0
LUMBINI,,,,Student,Total No. of children born alive in last 12 months,8566.0
LUMBINI,,,,Student,15 - 19,1087.0
LUMBINI,,,,Student,20 - 24,4280.0
LUMBINI,,,,Student,25 - 29,2038.0
LUMBINI,,,,Student,30 - 34,519.0
LUMBINI,,,,Student,35 - 39,343.0
LUMBINI,,,,Student,40 - 44,193.0
LUMBINI,,,,Student,45 - 49,106.0
LUMBINI,,,,Household chores,Total No. of children born alive in last 12 months,776985.0
LUMBINI,,,,Household chores,15 - 19,6215.0
LUMBINI,,,,Household chores,20 - 24,61147.0
LUMBINI,,,,Household chores,25 - 29,126545.0
LUMBINI,,,,Household chores,30 - 34,151112.0
LUMBINI,,,,Household chores,35 - 39,163039.0
LUMBINI,,,,Household chores,40 - 44,145080.0
LUMBINI,,,,Household chores,45 - 49,123847.0
LUMBINI,,,,Family care,Total No. of children born alive in last 12 months,230247.0
LUMBINI,,,,Family care,15 - 19,2242.0
LUMBINI,,,,Family care,20 - 24,21540.0
LUMBINI,,,,Family care,25 - 29,42562.0
LUMBINI,,,,Family care,30 - 34,45641.0
LUMBINI,,,,Family care,35 - 39,46459.0
LUMBINI,,,,Family care,40 - 44,39295.0
LUMBINI,,,,Family care,45 - 49,32508.0
LUMBINI,,,,Disable/sickness,Total No. of children born alive in last 12 months,11981.0
LUMBINI,,,,Disable/sickness,15 - 19,60.0
LUMBINI,,,,Disable/sickness,20 - 24,454.0
LUMBINI,,,,Disable/sickness,25 - 29,868.0
LUMBINI,,,,Disable/sickness,30 - 34,1341.0
LUMBINI,,,,Disable/sickness,35 - 39,2075.0
LUMBINI,,,,Disable/sickness,40 - 44,3081.0
LUMBINI,,,,Disable/sickness,45 - 49,4102.0
LUMBINI,,,,Penson / income,Total No. of children born alive in last 12 months,3407.0
LUMBINI,,,,Penson / income,15 - 19,27.0
LUMBINI,,,,Penson / income,20 - 24,172.0
LUMBINI,,,,Penson / income,25 - 29,366.0
LUMBINI,,,,Penson / income,30 - 34,568.0
LUMBINI,,,,Penson / income,35 - 39,605.0
LUMBINI,,,,Penson / income,40 - 44,791.0
LUMBINI,,,,Penson / income,45 - 49,878.0
LUMBINI,,,,Social work/volunteer,Total No. of children born alive in last 12 months,2070.0
LUMBINI,,,,Social work/volunteer,15 - 19,6.0
LUMBINI,,,,Social work/volunteer,20 - 24,87.0
LUMBINI,,,,Social work/volunteer,25 - 29,253.0
LUMBINI,,,,Social work/volunteer,30 - 34,350.0
LUMBINI,,,,Social work/volunteer,35 - 39,411.0
LUMBINI,,,,Social work/volunteer,40 - 44,489.0
LUMBINI,,,,Social work/volunteer,45 - 49,474.0
LUMBINI,,,,Other,Total No. of children born alive in last 12 months,258318.0
LUMBINI,,,,Other,15 - 19,2624.0
LUMBINI,,,,Other,20 - 24,24061.0
LUMBINI,,,,Other,25 - 29,45475.0
LUMBINI,,,,Other,30 - 34,50611.0
LUMBINI,,,,Other,35 - 39,51407.0
LUMBINI,,,,Other,40 - 44,45207.0
LUMBINI,,,,Other,45 - 49,38933.0
LUMBINI,,,,Not Stated,Total No. of children born alive in last 12 months,9545.0
LUMBINI,,,,Not Stated,15 - 19,83.0
LUMBINI,,,,Not Stated,20 - 24,679.0
LUMBINI,,,,Not Stated,25 - 29,1385.0
LUMBINI,,,,Not Stated,30 - 34,1665.0
LUMBINI,,,,Not Stated,35 - 39,2141.0
LUMBINI,,,,Not Stated,40 - 44,1834.0
LUMBINI,,,,Not Stated,45 - 49,1758.0
LUMBINI,Rukum (East),,,Total,Total No. of children born alive in last 12 months,9598.0
LUMBINI,Rukum (East),,,Total,15 - 19,228.0
LUMBINI,Rukum (East),,,Total,20 - 24,1112.0
LUMBINI,Rukum (East),,,Total,25 - 29,1512.0
LUMBINI,Rukum (East),,,Total,30 - 34,1568.0
LUMBINI,Rukum (East),,,Total,35 - 39,1716.0
LUMBINI,Rukum (East),,,Total,40 - 44,1785.0
LUMBINI,Rukum (East),,,Total,45 - 49,1677.0
LUMBINI,Rukum (East),,,Student,Total No. of children born alive in last 12 months,132.0
LUMBINI,Rukum (East),,,Student,15 - 19,43.0
LUMBINI,Rukum (East),,,Student,20 - 24,65.0
LUMBINI,Rukum (East),,,Student,25 - 29,16.0
LUMBINI,Rukum (East),,,Student,30 - 34,4.0
LUMBINI,Rukum (East),,,Student,35 - 39,4.0
LUMBINI,Rukum (East),,,Student,40 - 44,0.0
LUMBINI,Rukum (East),,,Student,45 - 49,0.0
LUMBINI,Rukum (East),,,Household chores,Total No. of children born alive in last 12 months,5674.0
LUMBINI,Rukum (East),,,Household chores,15 - 19,103.0
LUMBINI,Rukum (East),,,Household chores,20 - 24,565.0
LUMBINI,Rukum (East),,,Household chores,25 - 29,869.0
LUMBINI,Rukum (East),,,Household chores,30 - 34,956.0
LUMBINI,Rukum (East),,,Household chores,35 - 39,1029.0
LUMBINI,Rukum (East),,,Household chores,40 - 44,1127.0
LUMBINI,Rukum (East),,,Household chores,45 - 49,1025.0
LUMBINI,Rukum (East),,,Family care,Total No. of children born alive in last 12 months,2290.0
LUMBINI,Rukum (East),,,Family care,15 - 19,49.0
LUMBINI,Rukum (East),,,Family care,20 - 24,297.0
LUMBINI,Rukum (East),,,Family care,25 - 29,398.0
LUMBINI,Rukum (East),,,Family care,30 - 34,399.0
LUMBINI,Rukum (East),,,Family care,35 - 39,384.0
LUMBINI,Rukum (East),,,Family care,40 - 44,381.0
LUMBINI,Rukum (East),,,Family care,45 - 49,382.0
LUMBINI,Rukum (East),,,Disable/sickness,Total No. of children born alive in last 12 months,189.0
LUMBINI,Rukum (East),,,Disable/sickness,15 - 19,3.0
LUMBINI,Rukum (East),,,Disable/sickness,20 - 24,9.0
LUMBINI,Rukum (East),,,Disable/sickness,25 - 29,15.0
LUMBINI,Rukum (East),,,Disable/sickness,30 - 34,8.0
LUMBINI,Rukum (East),,,Disable/sickness,35 - 39,46.0
