province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
GANDAKI,,,Total,None,Total,816031.0,,,
GANDAKI,,,Total,None,Work/ employment,136145.0,,,
GANDAKI,,,Total,None,Trade/ business,30471.0,,,
GANDAKI,,,Total,None,Study/training,79041.0,,,
GANDAKI,,,Total,None,Marriage,283148.0,,,
GANDAKI,,,Total,None,Dependent,160103.0,,,
GANDAKI,,,Total,None,Natural calamities,3973.0,,,
GANDAKI,,,Total,None,Agriculture,18315.0,,,
GANDAKI,,,Total,None,Returning home,17019.0,,,
GANDAKI,,,Total,None,Others,51564.0,,,
GANDAKI,,,Total,None,Not stated,36252.0,,,
GANDAKI,,,Total,None,Total,10710.0,,,
GANDAKI,,,Total,None,Work/ employment,0.0,,,
GANDAKI,,,Total,None,Trade/ business,0.0,,,
GANDAKI,,,Total,None,Study/training,0.0,,,
GANDAKI,,,Total,None,Marriage,0.0,,,
GANDAKI,,,Total,None,Dependent,9478.0,,,
GANDAKI,,,Total,None,Natural calamities,44.0,,,
GANDAKI,,,Total,None,Agriculture,0.0,,,
GANDAKI,,,Total,None,Returning home,336.0,,,
GANDAKI,,,Total,None,Others,0.0,,,
GANDAKI,,,Total,None,Not stated,852.0,,,
GANDAKI,,,Total,None,Total,28153.0,,,
GANDAKI,,,Total,None,Work/ employment,0.0,,,
GANDAKI,,,Total,None,Trade/ business,0.0,,,
GANDAKI,,,Total,None,Study/training,7946.0,,,
GANDAKI,,,Total,None,Marriage,0.0,,,
GANDAKI,,,Total,None,Dependent,17767.0,,,
GANDAKI,,,Total,None,Natural calamities,165.0,,,
GANDAKI,,,Total,None,Agriculture,0.0,,,
GANDAKI,,,Total,None,Returning home,590.0,,,
GANDAKI,,,Total,None,Others,0.0,,,
GANDAKI,,,Total,None,Not stated,1685.0,,,
GANDAKI,,,Total,None,Total,39519.0,,,
GANDAKI,,,Total,None,Work/ employment,459.0,,,
GANDAKI,,,Total,None,Trade/ business,0.0,,,
GANDAKI,,,Total,None,Study/training,14390.0,,,
GANDAKI,,,Total,None,Marriage,299.0,,,
GANDAKI,,,Total,None,Dependent,20919.0,,,
GANDAKI,,,Total,None,Natural calamities,181.0,,,
GANDAKI,,,Total,None,Agriculture,0.0,,,
GANDAKI,,,Total,None,Returning home,670.0,,,
GANDAKI,,,Total,None,Others,670.0,,,
GANDAKI,,,Total,None,Not stated,1931.0,,,
GANDAKI,,,Total,None,Total,59376.0,,,
GANDAKI,,,Total,None,Work/ employment,4409.0,,,
GANDAKI,,,Total,None,Trade/ business,540.0,,,
GANDAKI,,,Total,None,Study/training,21891.0,,,
GANDAKI,,,Total,None,Marriage,7128.0,,,
GANDAKI,,,Total,None,Dependent,19311.0,,,
GANDAKI,,,Total,None,Natural calamities,209.0,,,
GANDAKI,,,Total,None,Agriculture,87.0,,,
GANDAKI,,,Total,None,Returning home,955.0,,,
GANDAKI,,,Total,None,Others,2079.0,,,
GANDAKI,,,Total,None,Not stated,2767.0,,,
GANDAKI,,,Total,None,Total,85742.0,,,
GANDAKI,,,Total,None,Work/ employment,15416.0,,,
GANDAKI,,,Total,None,Trade/ business,1461.0,,,
GANDAKI,,,Total,None,Study/training,16068.0,,,
GANDAKI,,,Total,None,Marriage,30016.0,,,
GANDAKI,,,Total,None,Dependent,14377.0,,,
GANDAKI,,,Total,None,Natural calamities,247.0,,,
GANDAKI,,,Total,None,Agriculture,403.0,,,
GANDAKI,,,Total,None,Returning home,1418.0,,,
GANDAKI,,,Total,None,Others,2934.0,,,
GANDAKI,,,Total,None,Not stated,3402.0,,,
GANDAKI,,,Total,None,Total,92196.0,,,
GANDAKI,,,Total,None,Work/ employment,20306.0,,,
GANDAKI,,,Total,None,Trade/ business,3061.0,,,
GANDAKI,,,Total,None,Study/training,6742.0,,,
GANDAKI,,,Total,None,Marriage,40457.0,,,
GANDAKI,,,Total,None,Dependent,11105.0,,,
GANDAKI,,,Total,None,Natural calamities,234.0,,,
GANDAKI,,,Total,None,Agriculture,753.0,,,
