Area (level 1),Area (level 2),Area (level 3),sex,Indicator,Value
NEPAL,,,Total,Total,29164578
NEPAL,,,Total,Relation of  household head - Household head,6666937
NEPAL,,,Total,Relation of  household head - Husband/ Wife,4741706
NEPAL,,,Total,Relation of  household head - Son / Daughter in Law,8246701
NEPAL,,,Total,Relation of  household head - Daughter/ Son in Law,4477089
NEPAL,,,Total,Relation of  household head - Father/ Mother,771033
NEPAL,,,Total,Relation of  household head - Father in Law/ Mother in Law,221112
NEPAL,,,Total,Relation of  household head - Brother/ Sister,531191
NEPAL,,,Total,Relation of  household head - Grand Son/ Grand Daugher,2767353
NEPAL,,,Total,Relation of  household head - Other Relative,418563
NEPAL,,,Total,Relation of  household head - Domestic Helper,21626
NEPAL,,,Total,Relation of  household head - Not Related,301235
NEPAL,,,Total,Relation of  household head - Not Stated,32
NEPAL,,,Male,Total,14253551
NEPAL,,,Male,Relation of  household head - Household head,4563659
NEPAL,,,Male,Relation of  household head - Husband/ Wife,640628
NEPAL,,,Male,Relation of  household head - Son / Daughter in Law,6508833
NEPAL,,,Male,Relation of  household head - Daughter/ Son in Law,27175
NEPAL,,,Male,Relation of  household head - Father/ Mother,238858
NEPAL,,,Male,Relation of  household head - Father in Law/ Mother in Law,72885
NEPAL,,,Male,Relation of  household head - Brother/ Sister,312347
NEPAL,,,Male,Relation of  household head - Grand Son/ Grand Daugher,1451475
NEPAL,,,Male,Relation of  household head - Other Relative,176354
NEPAL,,,Male,Relation of  household head - Domestic Helper,13970
NEPAL,,,Male,Relation of  household head - Not Related,247355
NEPAL,,,Male,Relation of  household head - Not Stated,12
NEPAL,,,Female,Total,14911027
NEPAL,,,Female,Relation of  household head - Household head,2103278
NEPAL,,,Female,Relation of  household head - Husband/ Wife,4101078
NEPAL,,,Female,Relation of  household head - Son / Daughter in Law,1737868
NEPAL,,,Female,Relation of  household head - Daughter/ Son in Law,4449914
NEPAL,,,Female,Relation of  household head - Father/ Mother,532175
NEPAL,,,Female,Relation of  household head - Father in Law/ Mother in Law,148227
NEPAL,,,Female,Relation of  household head - Brother/ Sister,218844
NEPAL,,,Female,Relation of  household head - Grand Son/ Grand Daugher,1315878
NEPAL,,,Female,Relation of  household head - Other Relative,242209
NEPAL,,,Female,Relation of  household head - Domestic Helper,7656
NEPAL,,,Female,Relation of  household head - Not Related,53880
NEPAL,,,Female,Relation of  household head - Not Stated,20
KOSHI,,,Total,Total,4961412
KOSHI,,,Total,Relation of  household head - Household head,1191556
KOSHI,,,Total,Relation of  household head - Husband/ Wife,857121
KOSHI,,,Total,Relation of  household head - Son / Daughter in Law,1355108
KOSHI,,,Total,Relation of  household head - Daughter/ Son in Law,774707
KOSHI,,,Total,Relation of  household head - Father/ Mother,136135
KOSHI,,,Total,Relation of  household head - Father in Law/ Mother in Law,38404
KOSHI,,,Total,Relation of  household head - Brother/ Sister,80749
KOSHI,,,Total,Relation of  household head - Grand Son/ Grand Daugher,407028
KOSHI,,,Total,Relation of  household head - Other Relative,74397
KOSHI,,,Total,Relation of  household head - Domestic Helper,3214
KOSHI,,,Total,Relation of  household head - Not Related,42989
KOSHI,,,Total,Relation of  household head - Not Stated,4
KOSHI,,,Male,Total,2417328
KOSHI,,,Male,Relation of  household head - Household head,823722
KOSHI,,,Male,Relation of  household head - Husband/ Wife,114707
KOSHI,,,Male,Relation of  household head - Son / Daughter in Law,1091486
KOSHI,,,Male,Relation of  household head - Daughter/ Son in Law,6185
KOSHI,,,Male,Relation of  household head - Father/ Mother,42128
KOSHI,,,Male,Relation of  household head - Father in Law/ Mother in Law,12800
KOSHI,,,Male,Relation of  household head - Brother/ Sister,44329
KOSHI,,,Male,Relation of  household head - Grand Son/ Grand Daugher,211406
KOSHI,,,Male,Relation of  household head - Other Relative,31656
KOSHI,,,Male,Relation of  household head - Domestic Helper,2196
KOSHI,,,Male,Relation of  household head - Not Related,36713
KOSHI,,,Male,Relation of  household head - Not Stated,0
KOSHI,,,Female,Total,2544084
KOSHI,,,Female,Relation of  household head - Household head,367834
KOSHI,,,Female,Relation of  household head - Husband/ Wife,742414
KOSHI,,,Female,Relation of  household head - Son / Daughter in Law,263622
KOSHI,,,Female,Relation of  household head - Daughter/ Son in Law,768522
KOSHI,,,Female,Relation of  household head - Father/ Mother,94007
KOSHI,,,Female,Relation of  household head - Father in Law/ Mother in Law,25604
KOSHI,,,Female,Relation of  household head - Brother/ Sister,36420
KOSHI,,,Female,Relation of  household head - Grand Son/ Grand Daugher,195622
KOSHI,,,Female,Relation of  household head - Other Relative,42741
KOSHI,,,Female,Relation of  household head - Domestic Helper,1018
KOSHI,,,Female,Relation of  household head - Not Related,6276
KOSHI,,,Female,Relation of  household head - Not Stated,4
KOSHI,Taplejung,,Total,Total,120590
KOSHI,Taplejung,,Total,Relation of  household head - Household head,27798
KOSHI,Taplejung,,Total,Relation of  household head - Husband/ Wife,20201
KOSHI,Taplejung,,Total,Relation of  household head - Son / Daughter in Law,34729
KOSHI,Taplejung,,Total,Relation of  household head - Daughter/ Son in Law,20573
KOSHI,Taplejung,,Total,Relation of  household head - Father/ Mother,2280
KOSHI,Taplejung,,Total,Relation of  household head - Father in Law/ Mother in Law,372
KOSHI,Taplejung,,Total,Relation of  household head - Brother/ Sister,2280
KOSHI,Taplejung,,Total,Relation of  household head - Grand Son/ Grand Daugher,9576
KOSHI,Taplejung,,Total,Relation of  household head - Other Relative,1318
KOSHI,Taplejung,,Total,Relation of  household head - Domestic Helper,95
KOSHI,Taplejung,,Total,Relation of  household head - Not Related,1368
KOSHI,Taplejung,,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,,Male,Total,60773
KOSHI,Taplejung,,Male,Relation of  household head - Household head,21041
KOSHI,Taplejung,,Male,Relation of  household head - Husband/ Wife,1937
KOSHI,Taplejung,,Male,Relation of  household head - Son / Daughter in Law,28764
KOSHI,Taplejung,,Male,Relation of  household head - Daughter/ Son in Law,89
KOSHI,Taplejung,,Male,Relation of  household head - Father/ Mother,728
KOSHI,Taplejung,,Male,Relation of  household head - Father in Law/ Mother in Law,138
KOSHI,Taplejung,,Male,Relation of  household head - Brother/ Sister,1215
KOSHI,Taplejung,,Male,Relation of  household head - Grand Son/ Grand Daugher,4941
KOSHI,Taplejung,,Male,Relation of  household head - Other Relative,561
KOSHI,Taplejung,,Male,Relation of  household head - Domestic Helper,72
KOSHI,Taplejung,,Male,Relation of  household head - Not Related,1287
KOSHI,Taplejung,,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,,Female,Total,59817
KOSHI,Taplejung,,Female,Relation of  household head - Household head,6757
KOSHI,Taplejung,,Female,Relation of  household head - Husband/ Wife,18264
KOSHI,Taplejung,,Female,Relation of  household head - Son / Daughter in Law,5965
KOSHI,Taplejung,,Female,Relation of  household head - Daughter/ Son in Law,20484
KOSHI,Taplejung,,Female,Relation of  household head - Father/ Mother,1552
KOSHI,Taplejung,,Female,Relation of  household head - Father in Law/ Mother in Law,234
KOSHI,Taplejung,,Female,Relation of  household head - Brother/ Sister,1065
KOSHI,Taplejung,,Female,Relation of  household head - Grand Son/ Grand Daugher,4635
KOSHI,Taplejung,,Female,Relation of  household head - Other Relative,757
KOSHI,Taplejung,,Female,Relation of  household head - Domestic Helper,23
KOSHI,Taplejung,,Female,Relation of  household head - Not Related,81
KOSHI,Taplejung,,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Total,11791
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Household head,2832
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Husband/ Wife,2109
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3322
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2186
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Father/ Mother,258
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,84
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Brother/ Sister,249
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,583
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Other Relative,139
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Domestic Helper,6
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Not Related,23
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Total,6088
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Household head,2054
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Husband/ Wife,383
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2947
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,7
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Father/ Mother,109
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,36
