Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,,,All Ages,Population - Total,4961412
KOSHI,,,All Ages,Population - Male,2417328
KOSHI,,,All Ages,Population - Female,2544084
KOSHI,,,00-04 Yrs.,Population - Total,382972
KOSHI,,,00-04 Yrs.,Population - Male,198619
KOSHI,,,00-04 Yrs.,Population - Female,184353
KOSHI,,,05-09 Yrs.,Population - Total,451346
KOSHI,,,05-09 Yrs.,Population - Male,231574
KOSHI,,,05-09 Yrs.,Population - Female,219772
KOSHI,,,10-14 Yrs.,Population - Total,455058
KOSHI,,,10-14 Yrs.,Population - Male,231545
KOSHI,,,10-14 Yrs.,Population - Female,223513
KOSHI,,,15-19 Yrs.,Population - Total,481880
KOSHI,,,15-19 Yrs.,Population - Male,242715
KOSHI,,,15-19 Yrs.,Population - Female,239165
KOSHI,,,20-24 Yrs.,Population - Total,451234
KOSHI,,,20-24 Yrs.,Population - Male,210760
KOSHI,,,20-24 Yrs.,Population - Female,240474
KOSHI,,,25-29 Yrs.,Population - Total,414446
KOSHI,,,25-29 Yrs.,Population - Male,188651
KOSHI,,,25-29 Yrs.,Population - Female,225795
KOSHI,,,30-34 Yrs.,Population - Total,368650
KOSHI,,,30-34 Yrs.,Population - Male,168852
KOSHI,,,30-34 Yrs.,Population - Female,199798
KOSHI,,,35-39 Yrs.,Population - Total,355201
KOSHI,,,35-39 Yrs.,Population - Male,164216
KOSHI,,,35-39 Yrs.,Population - Female,190985
KOSHI,,,40-44 Yrs.,Population - Total,313769
KOSHI,,,40-44 Yrs.,Population - Male,149827
KOSHI,,,40-44 Yrs.,Population - Female,163942
KOSHI,,,45-49 Yrs.,Population - Total,258216
KOSHI,,,45-49 Yrs.,Population - Male,124887
KOSHI,,,45-49 Yrs.,Population - Female,133329
KOSHI,,,50-54 Yrs.,Population - Total,265648
KOSHI,,,50-54 Yrs.,Population - Male,130429
KOSHI,,,50-54 Yrs.,Population - Female,135219
KOSHI,,,55-59 Yrs.,Population - Total,206528
KOSHI,,,55-59 Yrs.,Population - Male,102458
KOSHI,,,55-59 Yrs.,Population - Female,104070
KOSHI,,,60-64 Yrs.,Population - Total,183593
KOSHI,,,60-64 Yrs.,Population - Male,90215
KOSHI,,,60-64 Yrs.,Population - Female,93378
KOSHI,,,65-69 Yrs.,Population - Total,144070
KOSHI,,,65-69 Yrs.,Population - Male,71011
KOSHI,,,65-69 Yrs.,Population - Female,73059
KOSHI,,,70-74 Yrs.,Population - Total,107228
KOSHI,,,70-74 Yrs.,Population - Male,52509
KOSHI,,,70-74 Yrs.,Population - Female,54719
KOSHI,,,75-79 Yrs.,Population - Total,64506
KOSHI,,,75-79 Yrs.,Population - Male,31480
KOSHI,,,75-79 Yrs.,Population - Female,33026
KOSHI,,,80-84 Yrs.,Population - Total,31939
KOSHI,,,80-84 Yrs.,Population - Male,16083
KOSHI,,,80-84 Yrs.,Population - Female,15856
KOSHI,,,85-89 Yrs.,Population - Total,16726
KOSHI,,,85-89 Yrs.,Population - Male,7908
KOSHI,,,85-89 Yrs.,Population - Female,8818
KOSHI,,,90-94 Yrs.,Population - Total,5756
KOSHI,,,90-94 Yrs.,Population - Male,2587
KOSHI,,,90-94 Yrs.,Population - Female,3169
KOSHI,,,95+ Yrs.,Population - Total,2646
KOSHI,,,95+ Yrs.,Population - Male,1002
KOSHI,,,95+ Yrs.,Population - Female,1644
KOSHI,Taplejung,,All Ages,Population - Total,120590
KOSHI,Taplejung,,All Ages,Population - Male,60773
KOSHI,Taplejung,,All Ages,Population - Female,59817
KOSHI,Taplejung,,00-04 Yrs.,Population - Total,10220
KOSHI,Taplejung,,00-04 Yrs.,Population - Male,5243
KOSHI,Taplejung,,00-04 Yrs.,Population - Female,4977
KOSHI,Taplejung,,05-09 Yrs.,Population - Total,11716
KOSHI,Taplejung,,05-09 Yrs.,Population - Male,5940
KOSHI,Taplejung,,05-09 Yrs.,Population - Female,5776
KOSHI,Taplejung,,10-14 Yrs.,Population - Total,11593
KOSHI,Taplejung,,10-14 Yrs.,Population - Male,5745
KOSHI,Taplejung,,10-14 Yrs.,Population - Female,5848
