"Table 24: Population aged 5 years and above by literacy status, NPHC 2021",,,,,,
Area and  sex,Category,Population aged 5 years & above,Can read & write,Can read only,Can't read & write,
Nepal,Total,26725295,20377980,114331,6223061,9923
Nepal,Male,12963026,10830886,43921,2083529,4690
Nepal,Female,13762269,9547094,70410,4139532,5233
Urban Municipalities,Total,17749687,13928591,70849,3744704,5543
Urban Municipalities,Male,8630222,7371159,26717,1229749,2597
Urban Municipalities,Female,9119465,6557432,44132,2514955,2946
Rural Municipalities,Total,8975608,6449389,43482,2478357,4380
Rural Municipalities,Male,4332804,3459727,17204,853780,2093
Rural Municipalities,Female,4642804,2989662,26278,1624577,2287
Mountain,Total,1618454,1177540,7496,432415,1003
Mountain,Male,793736,643515,3103,146621,497
Mountain,Female,824718,534025,4393,285794,506
Hill,Total,10879634,8799144,53992,2021332,5166
Hill,Male,5254080,4617823,19516,614369,2372
Hill,Female,5625554,4181321,34476,1406963,2794
Tarai,Total,14227207,10401296,52843,3769314,3754
Tarai,Male,6915210,5569548,21302,1322539,1821
Tarai,Female,7311997,4831748,31541,2446775,1933
Koshi,Total,4578440,3648225,11469,918528,218
Koshi,Male,2218709,1910756,4793,303064,96
Koshi,Female,2359731,1737469,6676,615464,122
Madhesh,Total,5473478,3477413,14231,1981166,668
Madhesh,Male,2722401,1972460,6859,742731,351
Madhesh,Female,2751077,1504953,7372,1238435,317
Bagmati,Total,5718388,4692353,20526,1005281,228
Bagmati,Male,2837341,2504079,7841,325303,118
Bagmati,Female,2881047,2188274,12685,679978,110
Gandaki,Total,2297497,1875910,18252,399642,3693
Gandaki,Male,1080724,959289,6332,113407,1696
Gandaki,Female,1216773,916621,11920,286235,1997
Lumbini,Total,4682237,3655933,25233,998751,2320
Lumbini,Male,2223630,1894018,9229,319293,1090
Lumbini,Female,2458607,1761915,16004,679458,1230
Karnali,Total,1519611,1156194,8980,352697,1740
Karnali,Male,735203,612069,3398,118887,849
Karnali,Female,784408,544125,5582,233810,891
Sudur Paschim,Total,2455644,1871952,15640,566996,1056
Sudur Paschim,Male,1145018,978215,5469,160844,490
Sudur Paschim,Female,1310626,893737,10171,406152,566
Taplejung,Total,110370,90733,341,19295,1
Taplejung,Male,55530,48965,162,6403,0
Taplejung,Female,54840,41768,179,12892,1
Sankhuwasabha,Total,146105,116449,279,29368,9
Sankhuwasabha,Male,73380,63403,130,9840,7
Sankhuwasabha,Female,72725,53046,149,19528,2
Solukhumbu,Total,96528,74274,487,21765,2
Solukhumbu,Male,48441,40842,213,7386,0
Solukhumbu,Female,48087,33432,274,14379,2
Okhaldhunga,Total,129593,95752,339,33498,4
Okhaldhunga,Male,62954,51373,129,11450,2
Okhaldhunga,Female,66639,44379,210,22048,2
Khotang,Total,160882,122248,511,38120,3
Khotang,Male,79196,66242,242,12711,1
Khotang,Female,81686,56006,269,25409,2
Bhojpur,Total,145695,114914,886,29890,5
Bhojpur,Male,71909,61905,354,9648,2
Bhojpur,Female,73786,53009,532,20242,3
Dhankuta,Total,139893,113816,474,25596,7
