Area and  sex,Category,Indicator,Value
Nepal,Total,Population aged 5 years & above,26725295
Nepal,Total,Can read & write,20377980
Nepal,Total,Can read only,114331
Nepal,Total,Can't read & write,6223061
Nepal,Total,Not stated,9923
Nepal,Male,Population aged 5 years & above,12963026
Nepal,Male,Can read & write,10830886
Nepal,Male,Can read only,43921
Nepal,Male,Can't read & write,2083529
Nepal,Male,Not stated,4690
Nepal,Female,Population aged 5 years & above,13762269
Nepal,Female,Can read & write,9547094
Nepal,Female,Can read only,70410
Nepal,Female,Can't read & write,4139532
Nepal,Female,Not stated,5233
Urban Municipalities,Total,Population aged 5 years & above,17749687
Urban Municipalities,Total,Can read & write,13928591
Urban Municipalities,Total,Can read only,70849
Urban Municipalities,Total,Can't read & write,3744704
Urban Municipalities,Total,Not stated,5543
Urban Municipalities,Male,Population aged 5 years & above,8630222
Urban Municipalities,Male,Can read & write,7371159
Urban Municipalities,Male,Can read only,26717
Urban Municipalities,Male,Can't read & write,1229749
Urban Municipalities,Male,Not stated,2597
Urban Municipalities,Female,Population aged 5 years & above,9119465
Urban Municipalities,Female,Can read & write,6557432
Urban Municipalities,Female,Can read only,44132
Urban Municipalities,Female,Can't read & write,2514955
Urban Municipalities,Female,Not stated,2946
Rural Municipalities,Total,Population aged 5 years & above,8975608
Rural Municipalities,Total,Can read & write,6449389
Rural Municipalities,Total,Can read only,43482
Rural Municipalities,Total,Can't read & write,2478357
Rural Municipalities,Total,Not stated,4380
Rural Municipalities,Male,Population aged 5 years & above,4332804
Rural Municipalities,Male,Can read & write,3459727
Rural Municipalities,Male,Can read only,17204
Rural Municipalities,Male,Can't read & write,853780
Rural Municipalities,Male,Not stated,2093
Rural Municipalities,Female,Population aged 5 years & above,4642804
Rural Municipalities,Female,Can read & write,2989662
Rural Municipalities,Female,Can read only,26278
Rural Municipalities,Female,Can't read & write,1624577
Rural Municipalities,Female,Not stated,2287
Mountain,Total,Population aged 5 years & above,1618454
Mountain,Total,Can read & write,1177540
Mountain,Total,Can read only,7496
Mountain,Total,Can't read & write,432415
Mountain,Total,Not stated,1003
Mountain,Male,Population aged 5 years & above,793736
Mountain,Male,Can read & write,643515
Mountain,Male,Can read only,3103
Mountain,Male,Can't read & write,146621
Mountain,Male,Not stated,497
Mountain,Female,Population aged 5 years & above,824718
Mountain,Female,Can read & write,534025
Mountain,Female,Can read only,4393
Mountain,Female,Can't read & write,285794
Mountain,Female,Not stated,506
Hill,Total,Population aged 5 years & above,10879634
Hill,Total,Can read & write,8799144
Hill,Total,Can read only,53992
Hill,Total,Can't read & write,2021332
Hill,Total,Not stated,5166
Hill,Male,Population aged 5 years & above,5254080
Hill,Male,Can read & write,4617823
Hill,Male,Can read only,19516
Hill,Male,Can't read & write,614369
Hill,Male,Not stated,2372
Hill,Female,Population aged 5 years & above,5625554
Hill,Female,Can read & write,4181321
Hill,Female,Can read only,34476
Hill,Female,Can't read & write,1406963
Hill,Female,Not stated,2794
Tarai,Total,Population aged 5 years & above,14227207
Tarai,Total,Can read & write,10401296
Tarai,Total,Can read only,52843
Tarai,Total,Can't read & write,3769314
Tarai,Total,Not stated,3754
Tarai,Male,Population aged 5 years & above,6915210
Tarai,Male,Can read & write,5569548
Tarai,Male,Can read only,21302
Tarai,Male,Can't read & write,1322539
Tarai,Male,Not stated,1821
Tarai,Female,Population aged 5 years & above,7311997
Tarai,Female,Can read & write,4831748
Tarai,Female,Can read only,31541
Tarai,Female,Can't read & write,2446775
